us-east-1,,us-east-2,,us-west-2,,us-west-1,,ca-central-1,,eu-west-1,,eu-west-2,,eu-central-1,,ap-southeast-1,,ap-northeast-1,,ap-southeast-2,,ap-northeast-2,,ap-south-1,,sa-east-1
t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium,,t2.medium
t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large,,t2.large
t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge,,t2.xlarge
t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge,,t2.2xlarge
m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large,,m4.large
m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge,,m4.xlarge
m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge,,m4.2xlarge
m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge,,m4.4xlarge
m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge,,m4.10xlarge
m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge,,m4.16xlarge
m3.medium,,m3.medium,,m3.medium,,m3.medium,,,,m3.medium,,,,m3.medium,,m3.medium,,m3.medium,,m3.medium,,,,,,m3.medium
m3.large,,m3.large,,m3.large,,m3.large,,,,m3.large,,,,m3.large,,m3.large,,m3.large,,m3.large,,,,,,m3.large
m3.xlarge,,m3.xlarge,,m3.xlarge,,m3.xlarge,,,,m3.xlarge,,,,m3.xlarge,,m3.xlarge,,m3.xlarge,,m3.xlarge,,,,,,m3.xlarge
